CELEX_ID,Date,Title
32024R1839,2024-07-03,Commission Implementing Regulation (EU) 2024/1839 of 3 July 2024 correcting Implementing Regulation (EU) 2023/2846 by deleting Schinopsis lorentzii (Griseb.) Engl. as a source of the feed additive red quebracho extract
32024R0417,2024-01-29,Council Implementing Regulation (EU) 2024/417 of 29 January 2024 implementing Regulation (EU) 2020/1998 concerning restrictive measures against serious human rights violations and abuses
32024R0793,2024-03-06,"Commission Implementing Regulation (EU) 2024/793 of 6 March 2024 correcting Implementing Regulation (EU) 2023/2180 amending Implementing Regulation (EU) 2021/607 imposing a definitive anti-dumping duty on imports of citric acid originating in the People’s Republic of China as extended to imports of citric acid consigned from Malaysia, whether declared as originating in Malaysia or not, following a new exporter review pursuant to Article 11(4) of Regulation (EU) 2016/1036 of the European Parliament and of the Council"
32024R0821,2024-03-08,"Commission Implementing Regulation (EU) 2024/821 of 8 March 2024 renewing the approval of the low-risk active substance hydrolysed proteins in accordance with Regulation (EC) No 1107/2009 of the European Parliament and of the Council, and amending Commission Implementing Regulation (EU) No 540/2011"
32024R0839,2024-03-08,"Commission Implementing Regulation (EU) 2024/839 of 8 March 2024 renewing the approval of the low-risk active substance urea in accordance with Regulation (EC) No 1107/2009 of the European Parliament and of the Council, and amending Commission Implementing Regulation (EU) No 540/2011"
32024R0835,2024-03-12,"Commission Implementing Regulation (EU) 2024/835 of 12 March 2024 renewing the approval of the active substance trinexapac, as trinexapac-ethyl, in accordance with Regulation (EC) No 1107/2009 of the European Parliament and of the Council, and amending Commission Implementing Regulation (EU) No 540/2011"
32024R2136,2024-07-31,Commission Implementing Regulation (EU) 2024/2136 of 31 July 2024 concerning the classification of certain goods in the Combined Nomenclature
32024R2147,2024-08-06,Commission Implementing Regulation (EU) 2024/2147 of 6 August 2024 laying down technical information for the calculation of technical provisions and basic own funds for reporting with reference dates from 30 June 2024 until 29 September 2024 in accordance with Directive 2009/138/EC of the European Parliament and of the Council on the taking-up and pursuit of the business of Insurance and Reinsurance
32024R0842,2024-03-11,Commission Implementing Regulation (EU) 2024/842 of 11 March 2024 re-imposing safeguard measures with regard to imports of Indica rice originating in Cambodia and Myanmar/Burma
32024R0860,2024-03-18,Commission Implementing Regulation (EU) 2024/860 of 18 March 2024 amending Regulation (EU) No 37/2010 as regards the substance 17β-oestradiol
32024R0771,2024-02-29,Commission Implementing Regulation (EU) 2024/771 of 29 February 2024 amending Regulation (EC) No 152/2009 laying down the methods of sampling and analysis for the official control of feed
32024R0806,2024-03-07,Commission Implementing Regulation (EU) 2024/806 of 7 March 2024 concerning the authorisation of pine tincture from Pinus sylvestris L. as a feed additive for all animal species
32024R0824,2024-03-08,Commission Implementing Regulation (EU) 2024/824 of 8 March 2024 concerning the authorisation of gentian tincture from Gentiana lutea L. as a feed additive for certain animal species
32024R0228,2024-01-12,Commission Implementing Regulation (EU) 2024/228 of 12 January 2024 concerning the authorisation of a preparation of Companilactobacillus farciminis CNCM I-3740 as a feed additive for chickens for fattening and turkeys for fattening (holder of authorisation: ChemVet dk A/S) and amending Regulation (EC) No 1876/2006
32024R0231,2024-01-12,"Commission Implementing Regulation (EU) 2024/231 of 12 January 2024 concerning the authorisation of a preparation of halofuginone hydrobromide (Stenorol) as a feed additive for chickens for fattening, turkeys for fattening and turkeys reared for breeding (holder of authorisation: Huvepharma NV)"
32024R0260,2024-01-12,"Commission Implementing Regulation (EU) 2024/260 of 12 January 2024 concerning the authorisation of cumin essential oil from Cuminum cyminum L., sweet fennel tincture from Foeniculum vulgare Mill. ssp. vulgare var. dulce, dong quai tincture from Angelica sinensis (Oliv.) Diels, parsley tincture from Petroselinum crispum (Mill.) Fuss, star anise tincture from Illicium verum Hook f., asafoetida essential oil from Ferula-assa-foetida L., dill herb essential oil from Anethum graveolens L. and dill tincture from Anethum graveolens L. as feed additives for certain animal species"
32024R0804,2024-03-07,Commission Implementing Regulation (EU) 2024/804 of 7 March 2024 amending Implementing Regulation (EU) 2023/265 imposing a definitive anti-dumping duty on imports of ceramic tiles originating in India and Türkiye
32024R0844,2024-03-13,Commission Implementing Regulation (EU) 2024/844 of 13 March 2024 imposing a definitive anti-dumping duty and definitively collecting the provisional duty imposed on imports of electrolytic manganese dioxides originating in the People’s Republic of China
32024R0805,2024-03-07,Commission Implementing Regulation (EU) 2024/805 of 7 March 2024 amending Implementing Regulation (EU) 2022/996 as regards the date of application of Article 11(1) of that Regulation
32024R0836,2024-03-12,"Commission Implementing Regulation (EU) 2024/836 of 12 March 2024 approving the basic substance magnesium hydroxide E528 in accordance with Regulation (EC) No 1107/2009 of the European Parliament and of the Council, and amending Commission Implementing Regulation (EU) No 540/2011"
32024R0796,2024-03-04,Commission Implementing Regulation (EU) 2024/796 of 4 March 2024 amending the implementing technical standards laid down in Implementing Regulation (EU) No 650/2014 as regards the information to be disclosed by competent authorities in accordance with Directive 2013/36/EU of the European Parliament and of the Council
32024R0348,2024-01-19,"Commission Implementing Regulation (EU) 2024/348 of 19 January 2024 amending the implementing technical standards laid down in Commission Implementing Regulation (EU) 2016/2070 as regards benchmark portfolios, reporting templates and reporting instructions for the reporting referred to in Article 78(2) of Directive 2013/36/EU of the European Parliament and of the Council"
32024R0840,2024-03-06,Commission Implementing Regulation (EU) 2024/840 of 6 March 2024 fixing the import duties applicable to certain types of husked rice from 7 March 2024
32024R0786,2024-03-06,"Commission Implementing Regulation (EU) 2024/786 of 6 March 2024 concerning the authorisation of a preparation of thyme oil, star anise oil and quillaja bark powder as a feed additive for all poultry species for fattening (holder of authorisation: Delacon Biotechnik GmbH)"
32024R0220,2024-01-12,Commission Implementing Regulation (EU) 2024/220 of 12 January 2024 concerning the renewal of the authorisation of a preparation of Pediococcus pentosaceus NCIMB 30168 as a feed additive for all animal species and amending Implementing Regulation (EU) No 1119/2012
32024R0819,2024-03-08,Commission Implementing Regulation (EU) 2024/819 of 8 March 2024 imposing a definitive anti-dumping duty on imports of certain corrosion resistant steels originating in the People’s Republic of China following an expiry review pursuant to Article 11(2) of Regulation (EU) 2016/1036 of the European Parliament and of the Council
32024R0217,2024-01-11,Commission Implementing Regulation (EU) 2024/217 of 11 January 2024 approving a modification of a traditional term in the wine sector in accordance with Article 115(2) of Regulation (EU) No 1308/2013 of the European Parliament and of the Council – Vino generoso
32024R0841,2024-03-08,Commission Implementing Regulation (EU) 2024/841 of 8 March 2024 accepting a request for new exporting producer treatment with regard to the definitive anti-dumping measures imposed on imports of electric bicycles originating in the People’s Republic of China and amending Implementing Regulation (EU) 2019/73
32024R0820,2024-03-08,Commission Implementing Regulation (EU) 2024/820 of 8 March 2024 accepting a request for new exporting producer treatment with regard to the definitive anti-dumping measures imposed on imports of electric bicycles originating in the People’s Republic of China and amending Implementing Regulation (EU) 2019/73
32024R0859,2024-03-18,Commission Implementing Regulation (EU) 2024/859 of 18 March 2024 amending Regulation (EU) No 37/2010 as regards the classification of the substance sodium salicylate with respect to its maximum residue limit in foodstuffs of animal origin
32024R0834,2024-03-05,"Commission Implementing Regulation (EU) 2024/834 of 5 March 2024 amending Annexes V and XIV to Implementing Regulation (EU) 2021/404 as regards the entries for Canada and the United States in the lists of third countries authorised for the entry into the Union of consignments of poultry and germinal products of poultry, and of fresh meat of poultry and game birds"
32024R0880,2024-03-14,"Commission Implementing Regulation (EU) 2024/880 of 14 March 2024 amending Annexes V and XIV to Implementing Regulation (EU) 2021/404 as regards the entries for Canada and the United States in the lists of third countries authorised for the entry into the Union of consignments of poultry and germinal products of poultry, and of fresh meat of poultry and game birds"
32024R0870,2024-03-13,Commission Implementing Regulation (EU) 2024/870 of 13 March 2024 amending Annex I to Implementing Regulation (EU) 2023/594 laying down special control measures for African swine fever
32024R2187,2024-08-27,Commission Implementing Regulation (EU) 2024/2187 of 27 August 2024 amending Annex I to Implementing Regulation (EU) 2023/594 laying down special control measures for African swine fever
32024R0833,2024-03-11,Commission Implementing Regulation (EU) 2024/833 of 11 March 2024 amending Commission Regulation (EC) No 1768/95 as regards the liability for damage pursuant to Article 94(2) of Council Regulation (EC) No 2100/94
32024R2140,2024-08-06,Commission Implementing Regulation (EU) 2024/2140 of 6 August 2024 amending and correcting Implementing Regulation (EU) 2021/1378 as regards the recognition of certain control bodies in accordance with Article 46 of Regulation (EU) 2018/848 of the European Parliament and of the Council as competent to carry out controls and issue organic certificates in third countries for the purpose of imports of organic products into the Union
32024R0216,2024-01-11,Commission Implementing Regulation (EU) 2024/216 of 11 January 2024 amending the Annex to Implementing Regulation (EU) 2018/1882 concerning listed diseases of aquatic animals and the list of species and groups of species posing a considerable risk for the spread of those listed diseases
32024R0849,2024-03-12,"Council Implementing Regulation (EU) 2024/849 of 12 March 2024 implementing Regulation (EU) No 269/2014 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine"
32024R0889,2024-03-15,Commission Implementing Regulation (EU) 2024/889 of 15 March 2024 correcting the Dutch language version of Implementing Regulation (EU) 2023/2866 implementing Regulation (EU) 2019/631 of the European Parliament and of the Council by determining the procedures for performing the verification of the CO2 emission and fuel consumption values of passenger cars and light commercial vehicles in-service (in-service verification)
32024R0221,2024-01-12,"Commission Implementing Regulation (EU) 2024/221 of 12 January 2024 concerning the renewal of the authorisation of a preparation of endo-1,4-beta-xylanase, endo-1,3(4)-beta-glucanase and endo-1,4-beta-glucanase, produced by Trichoderma reesei ATCC 74444, as a feed additive for all poultry species for fattening, all poultry species for laying and weaned piglets (holder of authorisation: DSM Nutritional Products) and amending Implementing Regulation (EU) No 403/2013"
32024R0291,2024-01-12,Council Implementing Regulation (EU) 2024/291 of 12 January 2024 implementing Regulation (EU) 2022/2309 concerning restrictive measures in view of the situation in Haiti
32024R0328,2024-01-12,Commission Implementing Regulation (EU) 2024/328 of 12 January 2024 amending for the 340th time Council Regulation (EC) No 881/2002 imposing certain specific restrictive measures directed against certain persons and entities associated with the ISIL (Da'esh) and Al-Qaida organisations
32024R0738,2024-03-01,"Commission Implementing Regulation (EU) 2024/738 of 1 March 2024 withdrawing the acceptance of the undertaking for all exporting producers, amending Implementing Regulation (EU) 2021/607 and repealing the Implementing Decision (EU) 2015/87 accepting the undertakings offered in connection with the anti-dumping proceeding concerning imports of citric acid originating in the People’s Republic of China"
32024R0989,2024-04-02,"Commission Implementing Regulation (EU) 2024/989 of 2 April 2024 concerning a coordinated multiannual control programme of the Union for 2025, 2026 and 2027 to ensure compliance with maximum residue levels of pesticides and to assess the consumer exposure to pesticide residues in and on food of plant and animal origin and repealing Implementing Regulation (EU) 2023/731"
32024R0326,2024-01-11,Commission Implementing Regulation (EU) 2024/326 of 11 January 2024 approving a Union amendment to the product specification for the protected geographical indication (Ser koryciński swojski)
32024R0755,2024-02-29,Commission Implementing Regulation (EU) 2024/755 of 29 February 2024 on extending the derogation from Council Regulation (EC) No 1967/2006 as regards the minimum distance from the coast and the minimum sea depth for boat seines fishing for transparent and Ferrer’s gobies (Aphia minuta and Pseudaphia ferreri) and Lowbody picarel (Spicara smaris) in certain territorial waters of Spain (Balearic Islands)
32024R1382,2024-05-23,"Commission Implementing Regulation (EU) 2024/1382 of 23 May 2024 extending a derogation from Council Regulation (EC) No 1967/2006 as regards the prohibition to fish above protected habitats, the minimum distance from the coast and the minimum sea depth for the gangui trawlers fishing in certain territorial waters of France (Provence-Alpes-Côte d’Azur)"
32024R2473,2024-09-19,Commission Implementing Regulation (EU) 2024/2473 of 19 September 2024 laying down rules for the application of Regulation (EU) 2024/573 of the European Parliament and of the Council as regards the registration in the F-gas Portal and repealing Commission Implementing Regulation (EU) 2019/661
32024R0574,2024-02-15,"Commission Implementing Regulation (EU) 2024/574 of 15 February 2024 specifying the technical formats for reporting by the Member States pursuant to Regulation (EU) No 1143/2014 of the European Parliament and of the Council, and repealing Commission Implementing Regulation (EU) 2017/1454"
32024R0324,2024-01-19,"Commission Implementing Regulation (EU) 2024/324 of 19 January 2024 amending Implementing Regulation (EU) No 540/2011 as regards the extension of the approval periods of the active substances benzovindiflupyr, bromuconazole, buprofezin, cyflufenamid, fluazinam, fluopyram, flutolanil, lambda-cyhalothrin, mecoprop-P, mepiquat, metsulfuron-methyl, phosphane and pyraclostrobin"
32024R0288,2024-01-18,"Commission Implementing Regulation (EU) 2024/288 of 18 January 2024 concerning the frequency of checks on wood packaging material carrying, protecting or supporting certain commodities from certain third countries"
32024R0353,2024-01-15,Commission Implementing Regulation (EU) 2024/353 of 15 January 2024 concerning the classification of certain goods in the Combined Nomenclature
32024R0339,2024-01-12,Commission Implementing Regulation (EU) 2024/339 of 12 January 2024 concerning the classification of certain goods in the Combined Nomenclature
32024R0235,2024-01-15,Commission Implementing Regulation (EU) 2024/235 of 15 January 2024 approving Alkyl (C12-16) dimethylbenzyl ammonium chloride (ADBAC/BKC (C12-C16)) as an existing active substance for use in biocidal products of product-type 2 in accordance with Regulation (EU) No 528/2012 of the European Parliament and of the Council
32024R0247,2024-01-16,"Commission Implementing Regulation (EU) 2024/247 of 16 January 2024 approving trihydrogen pentapotassium di(peroxomonosulfate) di(sulfate) as an existing active substance for use in biocidal products of product-types 2, 3, 4 and 5 in accordance with Regulation (EU) No 528/2012 of the European Parliament and of the Council"
32024R0893,2024-03-22,Commission Implementing Regulation (EU) 2024/893 of 22 March 2024 approving thermally treated garlic juice as an existing active substance for use in biocidal products of product-type 19 in accordance with Regulation (EU) No 528/2012 of the European Parliament and of the Council
32024R0191,2024-01-08,Commission Implementing Regulation (EU) 2024/191 of 8 January 2024 correcting certain language versions of Regulation (EU) No 1303/2014 concerning the technical specification for interoperability relating to safety in railway tunnels of the rail system of the European Union
32024R1333,2024-05-17,"Commission Implementing Regulation (EU) 2024/1333 of 17 May 2024 amending and correcting Annex III to Implementing Regulation (EU) 2020/2235 as regards model certificates for the entry into the Union of live fish, live crustaceans and products of animal origin from those animals and certain fishery products, intended for human consumption"
32024R1110,2024-04-10,Commission Implementing Regulation (EU) 2024/1110 of 10 April 2024 amending Regulation (EU) No 748/2012 as regards the initial airworthiness of unmanned aircraft systems subject to certification and Implementing Regulation (EU) 2019/947 as regards the rules and procedures for the operation of unmanned aircraft
32024R0334,2024-01-19,"Commission Implementing Regulation (EU) 2024/334 of 19 January 2024 amending Implementing Regulation (EU) 2021/405 as regards the lists of third countries with an approved control plan and authorised for the entry into the Union of consignments of certain live, chilled, frozen or processed bivalve molluscs, echinoderms, tunicates and marine gastropods and fishery products"
32024R1040,2024-03-27,Commission Implementing Regulation (EU) 2024/1040 of 27 March 2024 imposing a definitive anti-dumping duty on imports of certain polyethylene terephthalate originating in People’s Republic of China
32024R1381,2024-05-23,"Commission Implementing Regulation (EU) 2024/1381 of 23 May 2024 laying down, pursuant to Regulation (EU) 2021/2282 on health technology assessment, procedural rules for the interaction during, exchange of information on, and participation in, the preparation and update of joint clinical assessments of medicinal products for human use at Union level, as well as templates for those joint clinical assessments"
32024R0285,2024-01-17,"Commission Implementing Regulation (EU) 2024/285 of 17 January 2024 concerning the authorisation of taiga root tincture from Eleutherococcus senticosus (Rupr. & Maxim.) Maxim as a feed additive for dogs, cats and horses"
32024R0261,2024-01-17,Commission Implementing Regulation (EU) 2024/261 of 17 January 2024 concerning the authorisation of black pepper essential oil and black pepper oleoresin from Piper nigrum L. as feed additives for all animal species and black pepper supercritical extract from Piper nigrum L. as a feed additive for cats and dogs
32024R0749,2024-02-29,Commission Implementing Regulation (EU) 2024/749 of 29 February 2024 concerning the authorisation of lignosulphonate as a feed additive for all animal species
32024R0752,2024-02-29,Commission Implementing Regulation (EU) 2024/752 of 29 February 2024 concerning the denial of authorisation of a preparation of astaxanthin-rich Phaffia rhodozyma (ATCC SD-5340) as a feed additive for salmon and trout
32024R0357,2024-01-23,"Commission Implementing Regulation (EU) 2024/357 of 23 January 2024 imposing a definitive anti-dumping duty on imports of certain open mesh fabrics of glass fibres originating in the People’s Republic of China as extended to imports consigned from India, Indonesia, Malaysia, Taiwan and Thailand following an expiry review pursuant to Article 11(2) of Regulation (EU) 2016/1036 of the European Parliament and the Council"
32024R0670,2024-02-26,Commission Implementing Regulation (EU) 2024/670 of 26 February 2024 imposing a definitive anti-dumping duty on imports of hand pallet trucks and their essential parts originating in the People’s Republic of China following an expiry review pursuant to Article 11(2) of Regulation (EU) 2016/1036 of the European Parliament and of the Council
32024R0770,2024-03-04,Commission Implementing Regulation (EU) 2024/770 of 4 March 2024 imposing a definitive anti-dumping duty on imports of certain cast iron articles originating in the People’s Republic of China following an expiry review pursuant to Article 11(2) of Regulation (EU) 2016/1036 of the European Parliament and of the Council
32024R0994,2024-04-02,Commission Implementing Regulation (EU) 2024/994 of 2 April 2024 laying down operational details of the product database established under Regulation (EU) 2017/1369 of the European Parliament and of the Council
32024R0453,2024-02-05,Commission Implementing Regulation (EU) 2024/453 of 5 February 2024 on exceptional market support measures for the eggs and poultrymeat sectors in Italy
32024R1111,2024-04-10,"Commission Implementing Regulation (EU) 2024/1111 of 10 April 2024 amending Regulation (EU) No 1178/2011, Implementing Regulation (EU) No 923/2012, Regulation (EU) No 965/2012 and Implementing Regulation (EU) 2017/373, as regards the establishment of requirements for the operation of manned aircraft with a vertical take-off and landing capability"
32024R0213,2024-01-03,Commission Implementing Regulation (EU) 2024/213 of 3 January 2024 entering a name in the register of protected designations of origin and protected geographical indications (Safranbolu Safranı (PDO))
32024R0355,2024-01-23,Commission Implementing Regulation (EU) 2024/355 of 23 January 2024 amending Implementing Regulation (EU) 2021/2266 as regards the reference to the certificate for independent small producers of alcoholic beverages and the self-certification by those producers in the administrative documents
32024R0482,2024-01-31,Commission Implementing Regulation (EU) 2024/482 of 31 January 2024 laying down rules for the application of Regulation (EU) 2019/881 of the European Parliament and of the Council as regards the adoption of the European Common Criteria-based cybersecurity certification scheme (EUCC)
32024R0567,2024-02-14,Commission Implementing Regulation (EU) 2024/567 of 14 February 2024 amending Implementing Regulation (EU) 2020/761 with regard to the use of digital proof of origin for products originating from Brazil and the management of tariff quotas
32024R2741,2024-10-17,Commission Implementing Regulation (EU) 2024/2741 of 17 October 2024 approving an amendment to the specification for a protected designation of origin Chianti
32024R0360,2024-01-24,Commission Implementing Regulation (EU) 2024/360 of 24 January 2024 amending Implementing Regulation (EU) 2022/478 as regards the extension of the period of application of protective measures on imports of bivalve molluscs from Türkiye intended for human consumption
32024R0619,2024-02-14,Commission Implementing Regulation (EU) 2024/619 of 14 February 2024 approving Union amendments to the specification for a Protected Designation of Origin or a Protected Geographical Indication (Dunántúli / Dunántúl (PGI))
32024R0356,2024-01-15,Commission Implementing Regulation (EU) 2024/356 of 15 January 2024 entering a name in the register of traditional specialities guaranteed (Bœuf traditionnel de race Normande (TSG))
32024R0218,2024-01-03,Commission Implementing Regulation (EU) 2024/218 of 3 January 2024 entering a name in the register of protected designations of origin and protected geographical indications (Cabrito de Extremadura (PGI))
32024R0253,2024-01-09,Commission Implementing Regulation (EU) 2024/253 of 9 January 2024 entering a name in the register of protected designations of origin and protected geographical indications (Limburgse vlaai (PGI))
32024R0783,2024-02-27,Commission Implementing Regulation (EU) 2024/783 of 27 February 2024 entering a name in the register of protected designations of origin and protected geographical indications (Gotlandslins (PDO))
32024R0999,2024-03-22,Commission Implementing Regulation (EU) 2024/999 of 22 March 2024 entering a name in the register of protected designations of origin and protected geographical indications [Abricot des Baronnies (PGI)]
32024R1024,2024-03-26,Commission Implementing Regulation (EU) 2024/1024 of 26 March 2024 entering a name in the register of protected designations of origin and protected geographical indications (Ludbreški hren (PGI))
32024R0607,2024-02-15,Commission Implementing Regulation (EU) 2024/607 of 15 February 2024 on the practical and operational arrangements for the functioning of the information sharing system pursuant to Regulation (EU) 2022/2065 of the European Parliament and of the Council (Digital Services Act)
32024R0329,2024-01-16,"Council Implementing Regulation (EU) 2024/329 of 16 January 2024 implementing Article 2(3) of Regulation (EC) No 2580/2001 on specific restrictive measures directed against certain persons and entities with a view to combating terrorism, and repealing Implementing Regulation (EU) 2023/1505"
